participant_id,DAT_first7,DAT_last7,valid_words_count
VP_002,90.26541900634766,90.14466094970703,10
VP_001,93.72889709472656,94.66646575927734,8
VP_003,87.19527435302734,87.59153747558594,9
VP_004,90.36542510986328,95.15446472167969,9
VP_005,82.86824035644531,87.54485321044922,9
VP_006,85.4686050415039,89.76020812988281,9
VP_007,89.73654174804688,93.84523010253906,9
VP_008,87.00821685791016,85.81945037841797,9
VP_011,86.03730010986328,84.35719299316406,9
VP_009,95.46297454833984,96.72118377685547,9
VP_012,95.79859161376953,94.81438446044922,10
VP_013,88.42815399169922,93.7095947265625,10
VP_014,,,7
VP_015,,,1
VP_017,97.26806640625,96.65595245361328,8
VP_016,,,6
VP_019,81.7680892944336,86.56541442871094,10
VP_018,92.63735961914062,93.45606231689453,9
VP_020,89.15890502929688,93.28764343261719,10
VP_022,91.41878509521484,90.88814544677734,8
VP_021,92.41287994384766,93.4967041015625,9
VP_024,88.78600311279297,95.65583801269531,10
VP_023,,,6
VP_025,86.72974395751953,88.79285430908203,9
VP_027,81.4651107788086,90.98426055908203,9
VP_026,80.38819122314453,89.60005950927734,10
VP_028,92.13433837890625,91.21730041503906,10
VP_029,90.10918426513672,91.67176818847656,10
VP_030,85.18194580078125,92.60440063476562,10
VP_031,89.17688751220703,88.96319580078125,8
VP_032,90.82408905029297,95.40935516357422,9
VP_033,75.63211059570312,77.5346450805664,10
VP_034,,,7
VP_035,82.56877136230469,84.21743774414062,10
VP_036,89.33008575439453,76.111572265625,10
VP_037,86.62813568115234,93.8353271484375,10
VP_038,92.93486785888672,93.84141540527344,10
VP_039,84.8866958618164,80.45066833496094,10
VP_040,83.6109619140625,88.20458984375,10
VP_042,97.12753295898438,95.73831939697266,8
VP_041,93.53421020507812,96.2368392944336,9
VP_045,80.97130584716797,91.39408111572266,9
VP_043,99.26143646240234,89.80914306640625,10
VP_044,68.15402221679688,77.97602081298828,10
VP_046,,,7
VP_048,96.94888305664062,96.8272476196289,8
VP_049,89.38349151611328,91.38743591308594,8
VP_047,84.94670104980469,90.12501525878906,10
VP_050,90.41193389892578,96.06722259521484,9
VP_051,102.08711242675781,100.94892883300781,8
VP_052,89.568359375,91.04312133789062,10
VP_054,89.3162841796875,,9
VP_053,87.27245330810547,91.55384063720703,9
VP_055,81.18938446044922,83.18824768066406,10
VP_058,90.73243713378906,79.4671859741211,10
VP_057,95.14888000488281,92.26396942138672,8
VP_056,,,7
VP_062,90.36907958984375,86.86729431152344,9
VP_061,,,7
VP_059,77.65730285644531,74.74671936035156,9
VP_065,,,6
VP_060,96.42741394042969,95.87017822265625,9
VP_063,92.68391418457031,94.25919342041016,8
VP_064,92.21710205078125,95.15821075439453,10
VP_066,,,6
VP_069,95.57749938964844,91.95457458496094,9
VP_068,96.16197967529297,90.57331085205078,10
VP_070,94.68930053710938,97.04236602783203,9
VP_067,80.35717010498047,85.36483001708984,9
VP_071,79.78227996826172,79.48029327392578,10
VP_072,92.79946899414062,93.20599365234375,10
VP_073,88.8853759765625,92.28893280029297,8
VP_074,95.78962707519531,95.84954071044922,9
VP_075,86.86662292480469,86.64067077636719,8
VP_076,91.16035461425781,96.4773178100586,10
VP_077,,,7
VP_078,91.99568939208984,95.94755554199219,10
VP_081,82.55412292480469,84.88847351074219,10
VP_079,93.16663360595703,93.62316131591797,8
VP_080,,,7
VP_082,91.10795593261719,93.4003677368164,9
VP_084,84.09972381591797,88.23641204833984,10
VP_083,78.6340560913086,76.810546875,9
VP_086,,,6
VP_087,88.55845642089844,88.57194519042969,9
VP_085,94.70140075683594,96.27011108398438,8
VP_088,84.57689666748047,92.24608612060547,10
VP_089,76.54833221435547,78.41850280761719,10
VP_092,87.98262786865234,85.10931396484375,10
VP_090,82.6634521484375,82.58075714111328,8
VP_091,84.9809341430664,86.63846588134766,10
VP_093,82.94869995117188,83.68907928466797,8
VP_010,92.8576889038086,90.74295806884766,10
